Patch_ID,Avg_Res_Time_days,StdError,StdError_times_2,Model_Layer,Site,Max_minus_Min,MathMean,FitRange,Phase,FitMean
90,60.49966148,0.870607048,1.741214097,9000,HA02,14.69,5.86,14.63,224.82,5.88
215,177.9800777,3.735881847,7.471763694,6000,HA09,3.35,6.5,3.27,294.73,6.5
2,119.7318946,1.555044654,3.110089308,6000,HA12,11.33,5.73,10.77,277.63,5.73
288,138.9892043,5.674678064,11.34935613,9000,HA04,7.2,6.57,6.28,237.34,6.54
194,304.4685115,6.549024116,13.09804823,9000,HA17,2.68,6.43,2.4,346.56,6.26
183,110.128742,3.107585102,6.215170203,6000,CONC,7.55,8.6,5.88,246.51,7.7
137,118.3190967,4.548830796,9.097661591,9000,CRAZC,6.9,8.53,5.64,253.8,7.28
209,156.3528809,3.373584869,6.747169738,6000,HA06,4.95,6.78,4.24,235.63,6.13
216,147.7957946,6.008168276,12.01633655,6000,HA20,7.3,6.73,7.02,256.64,6.73
90,45.43161762,0.694572041,1.389144082,6000,MFL,12.8,8.47,14.92,210.02,5.4
128,70.73511191,2.619975365,5.23995073,6000,Control A,14.03,6.38,13.01,218.87,6.5
236,117.6150583,3.765236917,7.530473834,6000,Control E,6.69,6.64,6.11,232.57,6.7
11,108.4871272,0.992888969,1.985777939,9000,Dalimata Field Well,9.49,7.15,8.36,259.34,7.23
161,260.4500777,3.593970898,7.187941796,6000,Nyack 12,3.2,6.46,2.98,296.25,6.48
3,223.6672457,3.073928889,6.147857778,9000,RR Well,6.39,7.68,5.22,288.69,7.72
209,156.3528809,3.373584869,6.747169738,6000,Tinhorn Well,8.57,6.69,7.2,233.75,6.77
56,12.03342781,0.076755812,0.153511625,surface,Ousel SW,14.09,6.89,13.52,212.87,5.73
159,12.14909186,0.293939502,0.587879004,surface,Harrison SW,17.4049375,6.581121652,14.91064466,209.5620404,7.332784779
117,1.886280661,0.024244534,0.048489068,surface,SW,14.04,11,14.52,214.55,5.77
